Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
179.000000,-141.000000,-152.000000,0.930000,0.010000,-0.360000,-0.010000
1976.000000,-493.000000,477.000000,0.930000,0.010000,-0.360000,0.000000
-1431.000000,372.000000,-968.000000,0.950000,0.020000,-0.290000,0.070000
-2329.000000,1092.000000,373.000000,0.960000,0.020000,-0.290000,0.020000
2039.000000,-685.000000,-102.000000,0.930000,0.020000,-0.350000,-0.050000
2696.000000,-1811.000000,-322.000000,0.920000,0.080000,-0.370000,-0.020000
-3333.000000,1171.000000,1277.000000,0.950000,0.130000,-0.290000,0.070000
-2086.000000,1389.000000,-1406.000000,0.950000,0.090000,-0.290000,0.040000
2601.000000,-1004.000000,-692.000000,0.930000,0.180000,-0.330000,0.020000
-80.000000,-795.000000,1863.000000,0.930000,0.220000,-0.300000,0.060000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-565.000000,492.000000,1012.000000,0.930000,0.110000,-0.350000,0.050000
224.000000,1445.000000,299.000000,0.950000,-0.050000,-0.320000,0.000000
567.000000,-680.000000,-2204.000000,0.940000,-0.130000,-0.300000,-0.040000
269.000000,-198.000000,-123.000000,0.920000,0.100000,-0.390000,0.020000
-1281.000000,-238.000000,1428.000000,0.900000,0.250000,-0.350000,0.080000
-601.000000,1586.000000,551.000000,0.930000,0.120000,-0.350000,0.030000
1290.000000,-88.000000,-1292.000000,0.940000,-0.030000,-0.340000,-0.050000
1164.000000,-812.000000,-264.000000,0.910000,0.060000,-0.410000,-0.020000
508.000000,-476.000000,-957.000000,0.890000,0.240000,-0.380000,0.060000
-901.000000,-89.000000,1492.000000,0.880000,0.300000,-0.370000,0.080000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2549.000000,-903.000000,-1070.000000,0.870000,-0.230000,-0.410000,0.130000
3351.000000,-1510.000000,-510.000000,0.850000,-0.240000,-0.450000,0.130000
1405.000000,-617.000000,-1355.000000,0.860000,-0.160000,-0.450000,0.190000
-816.000000,768.000000,-1857.000000,0.870000,-0.010000,-0.420000,0.260000
-2618.000000,-235.000000,-133.000000,0.870000,0.090000,-0.400000,0.290000
-2459.000000,-741.000000,2590.000000,0.860000,0.210000,-0.400000,0.240000
-333.000000,368.000000,963.000000,0.900000,0.180000,-0.360000,0.160000
1488.000000,361.000000,-364.000000,0.930000,0.110000,-0.340000,0.090000
1725.000000,-15.000000,-822.000000,0.930000,0.090000,-0.340000,0.070000
-988.000000,176.000000,-29.000000,0.940000,0.110000,-0.300000,0.090000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2205.000000,-226.000000,-2480.000000,0.980000,0.080000,0.150000,-0.110000
243.000000,550.000000,-1933.000000,0.990000,0.070000,0.120000,-0.060000
-10.000000,478.000000,-668.000000,0.980000,0.100000,0.150000,-0.010000
-1098.000000,390.000000,-215.000000,0.980000,0.140000,0.160000,0.040000
-2215.000000,-12.000000,920.000000,0.960000,0.180000,0.190000,0.060000
-1035.000000,-609.000000,1142.000000,0.960000,0.220000,0.190000,0.040000
-42.000000,-816.000000,1162.000000,0.960000,0.220000,0.190000,-0.010000
485.000000,-336.000000,1340.000000,0.970000,0.200000,0.150000,-0.060000
2119.000000,-341.000000,746.000000,0.980000,0.140000,0.050000,-0.100000
-193.000000,504.000000,-1078.000000,0.990000,0.080000,-0.050000,-0.080000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-604.000000,-232.000000,-41.000000,0.990000,0.120000,0.000000,0.130000
443.000000,-36.000000,746.000000,0.980000,0.180000,0.010000,0.120000
84.000000,-128.000000,1903.000000,0.980000,0.170000,0.000000,0.120000
-694.000000,963.000000,1313.000000,0.990000,0.060000,0.000000,0.120000
240.000000,274.000000,-1312.000000,1.000000,-0.050000,-0.020000,0.080000
1008.000000,-553.000000,-2169.000000,1.000000,-0.060000,-0.030000,0.080000
-968.000000,-340.000000,-821.000000,0.990000,0.040000,0.000000,0.130000
394.000000,-432.000000,2345.000000,0.980000,0.170000,-0.020000,0.110000
-207.000000,-75.000000,141.000000,0.980000,0.190000,-0.010000,0.110000
-153.000000,636.000000,262.000000,0.990000,0.120000,-0.010000,0.110000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-2651.000000,-247.000000,904.000000,0.980000,0.090000,0.030000,0.170000
2081.000000,466.000000,-877.000000,1.000000,0.040000,-0.070000,0.010000
1493.000000,-148.000000,-234.000000,1.000000,0.030000,-0.060000,-0.010000
1073.000000,299.000000,-635.000000,1.000000,0.040000,-0.050000,0.070000
-2032.000000,-365.000000,915.000000,0.980000,0.070000,0.030000,0.180000
-2881.000000,-18.000000,665.000000,0.990000,0.050000,0.030000,0.140000
4227.000000,-174.000000,-313.000000,1.000000,0.030000,-0.090000,-0.020000
2985.000000,63.000000,-425.000000,1.000000,0.030000,-0.080000,0.030000
-3697.000000,-748.000000,-62.000000,0.970000,0.110000,0.060000,0.190000
-572.000000,-262.000000,1018.000000,0.980000,0.150000,0.010000,0.150000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
783.000000,397.000000,1145.000000,0.990000,0.120000,-0.060000,-0.080000
761.000000,209.000000,-55.000000,0.990000,0.100000,-0.050000,-0.100000
562.000000,559.000000,327.000000,0.990000,0.110000,-0.060000,-0.110000
-56.000000,1154.000000,604.000000,0.990000,0.110000,-0.060000,-0.100000
942.000000,674.000000,-222.000000,0.990000,0.100000,-0.080000,-0.100000
-46.000000,191.000000,130.000000,0.990000,0.100000,-0.070000,-0.080000
-136.000000,10.000000,-224.000000,0.990000,0.090000,-0.070000,-0.060000
35.000000,-463.000000,-569.000000,0.990000,0.070000,-0.080000,-0.060000
-396.000000,-1692.000000,-605.000000,0.990000,0.060000,-0.090000,-0.050000
-32.000000,-948.000000,495.000000,0.990000,0.050000,-0.090000,-0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-372.000000,465.000000,-587.000000,0.980000,0.120000,-0.170000,0.050000
141.000000,121.000000,-144.000000,0.970000,0.110000,-0.200000,0.090000
-425.000000,-230.000000,102.000000,0.960000,0.100000,-0.220000,0.120000
