Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
115.000000,-45.000000,-163.000000,0.990000,0.070000,-0.140000,0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-1136.000000,297.000000,677.000000,0.990000,0.050000,-0.140000,0.010000
3553.000000,-594.000000,-388.000000,0.980000,0.020000,-0.190000,-0.020000
-2048.000000,166.000000,660.000000,0.990000,0.060000,-0.110000,0.030000
-486.000000,360.000000,116.000000,0.990000,0.060000,-0.130000,0.030000
933.000000,-324.000000,-1060.000000,0.990000,0.050000,-0.150000,0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-347.000000,86.000000,217.000000,0.970000,0.090000,-0.190000,-0.060000
-461.000000,268.000000,465.000000,0.970000,0.070000,-0.210000,-0.090000
2277.000000,779.000000,-339.000000,0.960000,0.010000,-0.280000,-0.060000
-2180.000000,711.000000,-469.000000,0.970000,0.020000,-0.230000,0.010000
-1821.000000,287.000000,-695.000000,0.980000,0.030000,-0.190000,0.000000
644.000000,-977.000000,840.000000,0.980000,0.050000,-0.200000,-0.070000
832.000000,-650.000000,500.000000,0.970000,0.010000,-0.200000,-0.130000
1705.000000,-277.000000,-662.000000,0.960000,-0.090000,-0.190000,-0.180000
751.000000,361.000000,-424.000000,0.960000,-0.100000,-0.170000,-0.170000
-844.000000,321.000000,-932.000000,0.980000,-0.020000,-0.140000,-0.140000
-960.000000,133.000000,2189.000000,0.970000,0.110000,-0.200000,-0.120000
21.000000,-100.000000,-546.000000,0.960000,0.080000,-0.230000,-0.130000
505.000000,-228.000000,-259.000000,0.950000,0.070000,-0.270000,-0.140000
-123.000000,-116.000000,-208.000000,0.940000,0.070000,-0.300000,-0.130000
147.000000,-202.000000,75.000000,0.940000,0.080000,-0.320000,-0.140000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-760.000000,150.000000,999.000000,0.940000,0.200000,-0.270000,-0.070000
-843.000000,1130.000000,1810.000000,0.960000,0.110000,-0.250000,-0.080000
-260.000000,725.000000,-1932.000000,0.960000,-0.080000,-0.220000,-0.150000
485.000000,-372.000000,-1791.000000,0.910000,-0.120000,-0.290000,-0.260000
3254.000000,-1934.000000,1359.000000,0.880000,-0.050000,-0.400000,-0.250000
-1009.000000,529.000000,-782.000000,0.940000,0.060000,-0.310000,-0.150000
-606.000000,1003.000000,511.000000,0.950000,0.030000,-0.270000,-0.130000
-216.000000,85.000000,-939.000000,0.950000,-0.030000,-0.260000,-0.150000
631.000000,-437.000000,-628.000000,0.950000,0.050000,-0.290000,-0.140000
-155.000000,-156.000000,220.000000,0.940000,0.130000,-0.290000,-0.130000
-671.000000,-23.000000,1041.000000,0.930000,0.180000,-0.290000,-0.120000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-985.000000,271.000000,17.000000,0.920000,0.210000,-0.290000,-0.130000
-1017.000000,3.000000,627.000000,0.900000,0.250000,-0.310000,-0.170000
1118.000000,-286.000000,1712.000000,0.890000,0.160000,-0.360000,-0.240000
2923.000000,9.000000,-1715.000000,0.930000,-0.080000,-0.270000,-0.250000
-291.000000,-561.000000,-3146.000000,0.950000,-0.110000,-0.220000,-0.180000
-1715.000000,500.000000,1838.000000,0.950000,0.070000,-0.260000,-0.160000
-1194.000000,328.000000,173.000000,0.930000,0.170000,-0.270000,-0.200000
1434.000000,-347.000000,1263.000000,0.900000,0.120000,-0.330000,-0.260000
2766.000000,-896.000000,-1932.000000,0.920000,0.000000,-0.290000,-0.260000
-413.000000,96.000000,-2698.000000,0.950000,0.020000,-0.240000,-0.190000
-879.000000,-126.000000,1859.000000,0.930000,0.130000,-0.280000,-0.180000
-175.000000,-49.000000,172.000000,0.930000,0.150000,-0.270000,-0.180000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-192.000000,315.000000,1798.000000,0.940000,0.140000,-0.260000,-0.170000
-948.000000,1312.000000,-2391.000000,0.970000,-0.030000,-0.180000,-0.180000
884.000000,-530.000000,-1408.000000,0.920000,-0.070000,-0.260000,-0.300000
1826.000000,-1426.000000,-480.000000,0.900000,0.030000,-0.340000,-0.280000
-80.000000,97.000000,1284.000000,0.920000,0.140000,-0.300000,-0.200000
-727.000000,1335.000000,2039.000000,0.950000,0.070000,-0.230000,-0.170000
-1504.000000,1016.000000,-1633.000000,0.960000,-0.070000,-0.190000,-0.200000
893.000000,-915.000000,-2541.000000,0.910000,-0.060000,-0.290000,-0.300000
1881.000000,-1298.000000,532.000000,0.870000,0.090000,-0.390000,-0.290000
-183.000000,724.000000,647.000000,0.920000,0.120000,-0.300000,-0.200000
-712.000000,141.000000,803.000000,0.930000,0.140000,-0.280000,-0.180000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2182.000000,-631.000000,-319.000000,0.920000,0.110000,-0.290000,-0.220000
-2461.000000,785.000000,-300.000000,0.950000,0.170000,-0.220000,-0.130000
-1679.000000,818.000000,449.000000,0.950000,0.160000,-0.220000,-0.160000
1610.000000,-88.000000,-407.000000,0.920000,0.100000,-0.280000,-0.270000
3561.000000,-1904.000000,353.000000,0.910000,0.100000,-0.300000,-0.270000
-1900.000000,951.000000,-1015.000000,0.950000,0.170000,-0.220000,-0.150000
-1020.000000,111.000000,352.000000,0.940000,0.210000,-0.220000,-0.160000
-610.000000,-112.000000,1605.000000,0.910000,0.260000,-0.240000,-0.230000
872.000000,-663.000000,412.000000,0.890000,0.250000,-0.300000,-0.250000
1093.000000,619.000000,-2498.000000,0.930000,0.180000,-0.250000,-0.230000
-286.000000,45.000000,893.000000,0.920000,0.200000,-0.260000,-0.230000
-76.000000,8.000000,252.000000,0.920000,0.190000,-0.260000,-0.230000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
289.000000,-242.000000,92.000000,0.910000,0.200000,-0.240000,-0.260000
401.000000,1126.000000,804.000000,0.920000,0.180000,-0.240000,-0.270000
469.000000,1473.000000,1078.000000,0.930000,0.030000,-0.220000,-0.310000
-134.000000,222.000000,-948.000000,0.900000,-0.020000,-0.230000,-0.370000
735.000000,-904.000000,-910.000000,0.870000,0.050000,-0.300000,-0.380000
-854.000000,-529.000000,3321.000000,0.850000,0.140000,-0.350000,-0.380000
2551.000000,-1117.000000,-1345.000000,0.890000,0.000000,-0.260000,-0.370000
335.000000,353.000000,-1933.000000,0.940000,-0.010000,-0.200000,-0.270000
-1892.000000,818.000000,-242.000000,0.940000,0.140000,-0.200000,-0.220000
-45.000000,-178.000000,931.000000,0.930000,0.190000,-0.230000,-0.220000
-56.000000,-62.000000,359.000000,0.930000,0.200000,-0.230000,-0.220000
-98.000000,59.000000,225.000000,0.930000,0.200000,-0.230000,-0.230000
-139.000000,-22.000000,352.000000,0.920000,0.200000,-0.240000,-0.230000
-119.000000,39.000000,198.000000,0.920000,0.200000,-0.240000,-0.230000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-571.000000,969.000000,3345.000000,0.960000,0.130000,-0.190000,-0.180000
-83.000000,718.000000,-235.000000,0.970000,0.010000,-0.150000,-0.180000
-166.000000,-496.000000,-2218.000000,0.970000,-0.030000,-0.150000,-0.190000
-54.000000,-100.000000,219.000000,0.970000,0.050000,-0.170000,-0.180000
-223.000000,831.000000,3966.000000,0.960000,0.050000,-0.180000,-0.190000
-801.000000,781.000000,616.000000,0.970000,-0.040000,-0.140000,-0.190000
1039.000000,345.000000,769.000000,0.960000,-0.110000,-0.160000,-0.190000
-293.000000,783.000000,614.000000,0.960000,-0.160000,-0.130000,-0.190000
-323.000000,-158.000000,-965.000000,0.950000,-0.210000,-0.140000,-0.180000
678.000000,-1621.000000,-1540.000000,0.960000,-0.150000,-0.200000,-0.150000
-1054.000000,-863.000000,-2349.000000,0.970000,0.000000,-0.200000,-0.120000
-182.000000,-343.000000,-96.000000,0.950000,0.130000,-0.270000,-0.120000
439.000000,765.000000,2086.000000,0.950000,0.100000,-0.250000,-0.160000
-89.000000,318.000000,-23.000000,0.970000,0.010000,-0.180000,-0.190000
310.000000,36.000000,-326.000000,0.970000,-0.030000,-0.160000,-0.200000
-10.000000,-152.000000,-764.000000,0.970000,-0.050000,-0.150000,-0.210000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1164.000000,-1100.000000,-1463.000000,0.950000,-0.090000,-0.160000,-0.250000
52.000000,-324.000000,-1819.000000,0.970000,0.000000,-0.160000,-0.200000
-1114.000000,843.000000,2460.000000,0.970000,0.040000,-0.160000,-0.200000
1138.000000,-772.000000,-2513.000000,0.960000,-0.040000,-0.160000,-0.230000
-848.000000,287.000000,1656.000000,0.970000,0.070000,-0.140000,-0.190000
-698.000000,801.000000,727.000000,0.970000,0.020000,-0.130000,-0.180000
610.000000,-451.000000,-2624.000000,0.960000,-0.090000,-0.140000,-0.210000
1024.000000,-374.000000,812.000000,0.960000,-0.040000,-0.180000,-0.220000
-503.000000,-75.000000,-1219.000000,0.970000,0.020000,-0.150000,-0.180000
-768.000000,663.000000,2903.000000,0.970000,0.060000,-0.170000,-0.180000
301.000000,-62.000000,-1017.000000,0.960000,0.010000,-0.170000,-0.220000
-529.000000,134.000000,-1223.000000,0.970000,0.050000,-0.150000,-0.210000
674.000000,-407.000000,549.000000,0.950000,0.090000,-0.180000,-0.220000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
278.000000,-111.000000,-214.000000,0.950000,0.110000,-0.180000,-0.210000
-439.000000,101.000000,1263.000000,0.960000,0.130000,-0.160000,-0.190000
-255.000000,1031.000000,-1507.000000,0.970000,0.000000,-0.130000,-0.190000
1524.000000,-926.000000,-2205.000000,0.950000,0.020000,-0.190000,-0.240000
357.000000,-42.000000,892.000000,0.960000,0.110000,-0.150000,-0.190000
-1679.000000,439.000000,46.000000,0.960000,0.150000,-0.150000,-0.160000
729.000000,-25.000000,2314.000000,0.940000,0.140000,-0.190000,-0.230000
1535.000000,174.000000,-1365.000000,0.970000,0.070000,-0.170000,-0.190000
-2438.000000,468.000000,1166.000000,0.970000,0.120000,-0.130000,-0.160000
433.000000,518.000000,-52.000000,0.960000,0.040000,-0.150000,-0.220000
443.000000,26.000000,-580.000000,0.970000,0.040000,-0.140000,-0.180000
-1452.000000,693.000000,885.000000,0.980000,0.030000,-0.120000,-0.180000
677.000000,-319.000000,-1132.000000,0.960000,0.010000,-0.140000,-0.230000
110.000000,-230.000000,-47.000000,0.960000,0.060000,-0.150000,-0.230000
-92.000000,-220.000000,965.000000,0.950000,0.110000,-0.160000,-0.230000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
497.000000,136.000000,2226.000000,0.950000,0.130000,-0.190000,-0.230000
-273.000000,95.000000,-1888.000000,0.960000,0.110000,-0.170000,-0.170000
-1506.000000,193.000000,1020.000000,0.960000,0.160000,-0.170000,-0.160000
266.000000,278.000000,218.000000,0.950000,0.140000,-0.170000,-0.230000
2265.000000,-930.000000,-60.000000,0.940000,0.120000,-0.210000,-0.240000
-284.000000,263.000000,-788.000000,0.960000,0.130000,-0.180000,-0.170000
-1005.000000,-33.000000,179.000000,0.960000,0.190000,-0.180000,-0.140000
-1596.000000,576.000000,2828.000000,0.950000,0.200000,-0.180000,-0.170000
1532.000000,544.000000,-1259.000000,0.950000,0.000000,-0.190000,-0.240000
479.000000,-611.000000,-1878.000000,0.950000,-0.070000,-0.160000,-0.240000
300.000000,-354.000000,-2297.000000,0.960000,0.030000,-0.180000,-0.230000
-1524.000000,-889.000000,4859.000000,0.930000,0.220000,-0.210000,-0.220000
298.000000,230.000000,-1411.000000,0.940000,0.180000,-0.190000,-0.220000
-92.000000,38.000000,380.000000,0.940000,0.190000,-0.190000,-0.220000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-53.000000,165.000000,361.000000,0.960000,0.210000,-0.170000,-0.120000
-175.000000,202.000000,2263.000000,0.960000,0.180000,-0.160000,-0.110000
40.000000,261.000000,-2695.000000,0.980000,0.060000,-0.130000,-0.110000
-277.000000,510.000000,-3195.000000,0.970000,0.180000,-0.140000,-0.100000
-2.000000,-260.000000,644.000000,0.950000,0.310000,-0.060000,-0.050000
-470.000000,-176.000000,1422.000000,0.950000,0.300000,-0.110000,-0.080000
127.000000,701.000000,510.000000,0.970000,0.220000,-0.110000,-0.090000
233.000000,-157.000000,-1384.000000,0.980000,0.170000,-0.100000,-0.100000
-134.000000,127.000000,-1457.000000,0.950000,0.270000,-0.110000,-0.100000
-617.000000,-121.000000,479.000000,0.950000,0.300000,-0.030000,-0.060000
-286.000000,-85.000000,264.000000,0.950000,0.300000,-0.040000,-0.060000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-372.000000,66.000000,152.000000,0.980000,0.180000,-0.030000,-0.090000
-349.000000,29.000000,-382.000000,0.980000,0.190000,-0.030000,-0.090000
558.000000,479.000000,1714.000000,0.980000,0.150000,-0.050000,-0.140000
1583.000000,-104.000000,-1366.000000,0.990000,0.060000,-0.030000,-0.120000
-1107.000000,117.000000,-9.000000,0.990000,0.120000,0.010000,-0.060000
-1025.000000,-119.000000,1363.000000,0.980000,0.180000,-0.020000,-0.080000
874.000000,-20.000000,455.000000,0.980000,0.140000,-0.050000,-0.130000
1253.000000,137.000000,-2011.000000,0.990000,0.040000,-0.030000,-0.120000
-1121.000000,80.000000,-178.000000,0.990000,0.100000,0.000000,-0.070000
-671.000000,-79.000000,962.000000,0.990000,0.150000,-0.020000,-0.080000
515.000000,-167.000000,-161.000000,0.980000,0.150000,-0.040000,-0.100000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
529.000000,120.000000,-785.000000,0.980000,0.180000,-0.050000,-0.070000
-979.000000,140.000000,-281.000000,0.980000,0.190000,-0.030000,-0.010000
-1264.000000,65.000000,765.000000,0.980000,0.180000,-0.010000,-0.020000
226.000000,1340.000000,256.000000,0.990000,0.090000,-0.020000,-0.110000
2913.000000,-959.000000,-1744.000000,0.990000,0.000000,-0.060000,-0.130000
-853.000000,175.000000,-963.000000,1.000000,0.080000,0.000000,-0.040000
-613.000000,-110.000000,1391.000000,0.990000,0.120000,0.000000,-0.010000
-2193.000000,1087.000000,612.000000,1.000000,0.030000,0.030000,-0.040000
675.000000,53.000000,-2254.000000,0.980000,-0.030000,-0.030000,-0.180000
2514.000000,-1094.000000,-1237.000000,0.960000,0.130000,-0.110000,-0.200000
-86.000000,452.000000,1304.000000,0.970000,0.170000,-0.040000,-0.140000
20.000000,12.000000,305.000000,0.980000,0.150000,-0.040000,-0.140000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-228.000000,90.000000,-838.000000,0.970000,0.020000,-0.110000,-0.210000
488.000000,1839.000000,-366.000000,0.970000,0.030000,-0.100000,-0.220000
177.000000,2356.000000,312.000000,0.970000,0.020000,-0.110000,-0.230000
166.000000,1108.000000,-989.000000,0.960000,-0.020000,-0.140000,-0.230000
825.000000,-664.000000,-926.000000,0.950000,-0.070000,-0.240000,-0.180000
-88.000000,-1512.000000,-413.000000,0.950000,-0.100000,-0.280000,-0.100000
-908.000000,-571.000000,1252.000000,0.960000,-0.080000,-0.280000,-0.050000
658.000000,-289.000000,210.000000,0.960000,-0.060000,-0.270000,-0.050000
-655.000000,67.000000,-449.000000,0.970000,-0.050000,-0.250000,-0.050000
-235.000000,-84.000000,-487.000000,0.970000,-0.040000,-0.250000,-0.050000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
284.000000,673.000000,589.000000,0.960000,-0.040000,-0.270000,-0.040000
-320.000000,1760.000000,360.000000,0.950000,-0.110000,-0.300000,0.030000
290.000000,551.000000,-959.000000,0.900000,-0.220000,-0.360000,0.130000
419.000000,-1891.000000,-1055.000000,0.870000,-0.290000,-0.360000,0.190000
-157.000000,-2634.000000,-181.000000,0.850000,-0.310000,-0.360000,0.220000
112.000000,-3414.000000,-1682.000000,0.870000,-0.280000,-0.330000,0.220000
-1013.000000,-247.000000,-995.000000,0.920000,-0.150000,-0.310000,0.160000
-632.000000,1729.000000,138.000000,0.940000,-0.040000,-0.330000,0.050000
305.000000,2617.000000,818.000000,0.920000,0.030000,-0.380000,0.020000
-93.000000,425.000000,-1550.000000,0.930000,0.040000,-0.370000,0.010000
-1137.000000,153.000000,2879.000000,0.910000,0.070000,-0.410000,0.000000
18.000000,-346.000000,-146.000000,0.920000,0.060000,-0.390000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
117.000000,-207.000000,-565.000000,0.920000,0.130000,-0.380000,-0.010000
312.000000,-42.000000,-1961.000000,0.900000,0.220000,-0.380000,-0.030000
-258.000000,-320.000000,2177.000000,0.870000,0.320000,-0.370000,-0.050000
299.000000,22.000000,145.000000,0.880000,0.330000,-0.330000,-0.050000
-104.000000,-35.000000,416.000000,0.890000,0.330000,-0.320000,-0.050000
-222.000000,375.000000,280.000000,0.880000,0.310000,-0.350000,-0.050000
-392.000000,573.000000,1134.000000,0.890000,0.240000,-0.380000,-0.040000
647.000000,1435.000000,1298.000000,0.920000,0.110000,-0.390000,-0.020000
283.000000,24.000000,-1746.000000,0.950000,0.000000,-0.310000,-0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-1204.000000,660.000000,-9.000000,0.930000,0.010000,-0.350000,-0.110000
1072.000000,322.000000,839.000000,0.890000,-0.050000,-0.420000,-0.190000
1894.000000,-669.000000,-451.000000,0.870000,-0.150000,-0.410000,-0.220000
2956.000000,-1244.000000,-1708.000000,0.900000,-0.180000,-0.370000,-0.160000
-2814.000000,531.000000,-1330.000000,0.950000,-0.070000,-0.280000,-0.080000
-1271.000000,246.000000,148.000000,0.940000,-0.020000,-0.320000,-0.100000
811.000000,-133.000000,130.000000,0.920000,-0.020000,-0.360000,-0.160000
1002.000000,-410.000000,-143.000000,0.910000,-0.010000,-0.380000,-0.170000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
