Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
280.000000,29.000000,-51.000000,0.990000,0.000000,-0.150000,-0.030000
66.000000,-55.000000,-396.000000,0.990000,-0.010000,-0.150000,-0.020000
60.000000,-463.000000,-1871.000000,0.990000,0.030000,-0.140000,-0.010000
-415.000000,-244.000000,784.000000,0.960000,0.210000,-0.180000,0.050000
-557.000000,-543.000000,1875.000000,0.930000,0.300000,-0.200000,0.070000
-101.000000,-135.000000,-175.000000,0.930000,0.300000,-0.200000,0.080000
-85.000000,30.000000,390.000000,0.930000,0.310000,-0.200000,0.080000
-224.000000,687.000000,737.000000,0.950000,0.240000,-0.190000,0.070000
308.000000,595.000000,-383.000000,0.980000,0.100000,-0.160000,0.050000
244.000000,296.000000,-745.000000,0.990000,0.010000,-0.130000,0.030000
65.000000,-21.000000,-327.000000,0.990000,-0.010000,-0.130000,0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-625.000000,-291.000000,585.000000,0.950000,0.220000,-0.190000,0.090000
-321.000000,-376.000000,1250.000000,0.930000,0.310000,-0.200000,0.090000
-292.000000,-270.000000,439.000000,0.900000,0.370000,-0.200000,0.110000
-164.000000,-120.000000,390.000000,0.890000,0.390000,-0.200000,0.120000
-120.000000,-59.000000,192.000000,0.890000,0.400000,-0.200000,0.120000
-276.000000,-296.000000,835.000000,0.890000,0.390000,-0.200000,0.120000
296.000000,1001.000000,335.000000,0.940000,0.270000,-0.180000,0.100000
127.000000,858.000000,-171.000000,0.980000,0.140000,-0.140000,0.080000
-73.000000,1070.000000,-570.000000,0.990000,0.010000,-0.130000,0.040000
101.000000,-69.000000,-622.000000,0.990000,-0.040000,-0.110000,0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-288.000000,-424.000000,782.000000,0.870000,0.430000,-0.170000,0.150000
-223.000000,-128.000000,556.000000,0.870000,0.450000,-0.170000,0.150000
-140.000000,-10.000000,169.000000,0.870000,0.450000,-0.170000,0.150000
-142.000000,-28.000000,190.000000,0.860000,0.450000,-0.170000,0.150000
-162.000000,-79.000000,404.000000,0.860000,0.460000,-0.180000,0.140000
-196.000000,-238.000000,926.000000,0.870000,0.440000,-0.180000,0.140000
5.000000,950.000000,348.000000,0.930000,0.300000,-0.170000,0.130000
78.000000,783.000000,280.000000,0.970000,0.180000,-0.140000,0.110000
237.000000,576.000000,-263.000000,0.990000,0.060000,-0.110000,0.070000
478.000000,-105.000000,-523.000000,0.990000,-0.030000,-0.110000,0.030000
269.000000,-62.000000,-230.000000,0.990000,-0.030000,-0.110000,0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
191.000000,-479.000000,-1900.000000,0.990000,0.090000,-0.130000,0.060000
-566.000000,-580.000000,796.000000,0.940000,0.270000,-0.190000,0.090000
-190.000000,-420.000000,410.000000,0.910000,0.350000,-0.200000,0.110000
-170.000000,-116.000000,650.000000,0.890000,0.380000,-0.200000,0.120000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
160.000000,-69.000000,-270.000000,0.990000,-0.010000,-0.140000,0.030000
-146.000000,-469.000000,-176.000000,0.980000,0.080000,-0.160000,0.060000
281.000000,-330.000000,-462.000000,0.970000,0.170000,-0.190000,0.080000
-65.000000,-451.000000,376.000000,0.930000,0.290000,-0.200000,0.100000
-355.000000,-619.000000,296.000000,0.890000,0.390000,-0.210000,0.130000
-216.000000,-176.000000,485.000000,0.870000,0.420000,-0.220000,0.130000
-65.000000,-18.000000,266.000000,0.870000,0.420000,-0.220000,0.130000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
150.000000,1.000000,-154.000000,0.990000,0.000000,-0.110000,0.020000
249.000000,-688.000000,-2540.000000,0.990000,0.050000,-0.110000,0.030000
-485.000000,-563.000000,2131.000000,0.950000,0.260000,-0.170000,0.070000
-223.000000,-548.000000,-111.000000,0.890000,0.380000,-0.200000,0.110000
-300.000000,-232.000000,165.000000,0.860000,0.440000,-0.220000,0.120000
-79.000000,-45.000000,285.000000,0.860000,0.440000,-0.220000,0.110000
-138.000000,-56.000000,126.000000,0.850000,0.460000,-0.220000,0.110000
-301.000000,-145.000000,652.000000,0.850000,0.450000,-0.230000,0.110000
-104.000000,600.000000,932.000000,0.900000,0.370000,-0.210000,0.110000
274.000000,1005.000000,75.000000,0.960000,0.210000,-0.160000,0.100000
364.000000,552.000000,-910.000000,0.990000,0.070000,-0.120000,0.070000
488.000000,-75.000000,-796.000000,0.990000,-0.020000,-0.110000,0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-644.000000,-1154.000000,2160.000000,0.900000,0.370000,-0.180000,0.130000
-304.000000,-400.000000,796.000000,0.870000,0.440000,-0.190000,0.150000
-95.000000,-50.000000,244.000000,0.860000,0.440000,-0.190000,0.150000
-104.000000,-7.000000,223.000000,0.860000,0.450000,-0.190000,0.150000
-47.000000,-10.000000,248.000000,0.860000,0.450000,-0.190000,0.150000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
87.000000,-128.000000,-560.000000,0.990000,0.030000,-0.120000,0.060000
-446.000000,-658.000000,418.000000,0.950000,0.250000,-0.160000,0.090000
-417.000000,-569.000000,953.000000,0.880000,0.410000,-0.190000,0.140000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
386.000000,-351.000000,-2299.000000,0.990000,0.090000,-0.120000,0.070000
-1095.000000,-1375.000000,3094.000000,0.930000,0.310000,-0.180000,0.100000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-67.000000,-25.000000,267.000000,0.910000,0.360000,-0.190000,0.110000
-53.000000,-10.000000,252.000000,0.910000,0.360000,-0.190000,0.110000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-70.000000,-28.000000,269.000000,0.910000,0.360000,-0.190000,0.110000
-190.000000,-85.000000,720.000000,0.910000,0.350000,-0.190000,0.110000
425.000000,1438.000000,-74.000000,0.960000,0.210000,-0.160000,0.110000
273.000000,874.000000,-519.000000,0.990000,0.050000,-0.120000,0.080000
-108.000000,177.000000,-396.000000,0.990000,-0.020000,-0.110000,0.060000
-16.000000,-114.000000,-379.000000,0.990000,-0.040000,-0.110000,0.060000
0.000000,-106.000000,-218.000000,0.990000,-0.030000,-0.110000,0.060000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-150.000000,-334.000000,359.000000,0.890000,0.400000,-0.150000,0.170000
-174.000000,-220.000000,183.000000,0.870000,0.430000,-0.150000,0.180000
-112.000000,-45.000000,292.000000,0.870000,0.440000,-0.150000,0.180000
-148.000000,-36.000000,250.000000,0.870000,0.440000,-0.160000,0.170000
-108.000000,44.000000,155.000000,0.870000,0.430000,-0.160000,0.170000
-95.000000,-15.000000,219.000000,0.870000,0.430000,-0.160000,0.170000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
413.000000,-613.000000,-1554.000000,0.990000,0.020000,-0.110000,0.070000
-314.000000,-775.000000,238.000000,0.940000,0.260000,-0.160000,0.130000
-389.000000,-385.000000,780.000000,0.900000,0.370000,-0.180000,0.160000
-148.000000,-86.000000,137.000000,0.890000,0.380000,-0.190000,0.160000
-103.000000,-78.000000,294.000000,0.880000,0.400000,-0.190000,0.160000
-102.000000,-17.000000,225.000000,0.880000,0.400000,-0.190000,0.160000
-117.000000,3.000000,191.000000,0.880000,0.400000,-0.190000,0.160000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
621.000000,-816.000000,-2200.000000,0.990000,-0.010000,-0.110000,0.060000
-194.000000,-846.000000,-43.000000,0.950000,0.230000,-0.180000,0.120000
-367.000000,-391.000000,123.000000,0.910000,0.340000,-0.190000,0.160000
-153.000000,-91.000000,200.000000,0.900000,0.360000,-0.200000,0.160000
-94.000000,-9.000000,223.000000,0.890000,0.370000,-0.200000,0.160000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.000000,-144.000000,-411.000000,0.990000,-0.040000,-0.120000,0.040000
-144.000000,-360.000000,-249.000000,0.980000,0.070000,-0.150000,0.080000
42.000000,-514.000000,-79.000000,0.950000,0.230000,-0.190000,0.110000
-306.000000,-486.000000,382.000000,0.900000,0.350000,-0.190000,0.150000
-190.000000,-77.000000,259.000000,0.890000,0.370000,-0.200000,0.150000
-172.000000,-26.000000,271.000000,0.890000,0.380000,-0.200000,0.150000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
186.000000,-418.000000,-836.000000,0.990000,0.020000,-0.120000,0.060000
-254.000000,-677.000000,-148.000000,0.950000,0.240000,-0.160000,0.120000
-504.000000,-672.000000,924.000000,0.880000,0.410000,-0.190000,0.170000
-194.000000,-150.000000,283.000000,0.860000,0.450000,-0.190000,0.170000
-228.000000,-214.000000,586.000000,0.840000,0.480000,-0.190000,0.170000
-141.000000,-36.000000,319.000000,0.840000,0.480000,-0.190000,0.170000
-77.000000,0.000000,237.000000,0.840000,0.480000,-0.190000,0.170000
-86.000000,-4.000000,244.000000,0.840000,0.480000,-0.190000,0.170000
-58.000000,-26.000000,302.000000,0.840000,0.480000,-0.190000,0.170000
-388.000000,27.000000,1343.000000,0.860000,0.430000,-0.200000,0.160000
