Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
62.000000,158.000000,375.000000,0.980000,0.000000,-0.210000,0.000000
9.000000,553.000000,236.000000,0.980000,-0.070000,-0.190000,0.000000
54.000000,307.000000,-520.000000,0.970000,-0.180000,-0.180000,-0.010000
471.000000,-382.000000,-1018.000000,0.960000,-0.220000,-0.180000,-0.010000
-61.000000,-165.000000,-398.000000,0.960000,-0.230000,-0.170000,0.000000
24.000000,-121.000000,-312.000000,0.960000,-0.230000,-0.170000,0.000000
95.000000,-97.000000,-285.000000,0.960000,-0.230000,-0.180000,0.000000
35.000000,-95.000000,-223.000000,0.960000,-0.220000,-0.180000,0.000000
84.000000,-95.000000,-287.000000,0.960000,-0.220000,-0.180000,0.000000
51.000000,-75.000000,-250.000000,0.960000,-0.220000,-0.180000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-457.000000,388.000000,1115.000000,0.970000,0.020000,-0.240000,0.020000
343.000000,1279.000000,-160.000000,0.970000,-0.130000,-0.200000,0.010000
474.000000,-275.000000,-854.000000,0.960000,-0.210000,-0.190000,0.010000
65.000000,-8.000000,-132.000000,0.960000,-0.210000,-0.180000,0.010000
31.000000,-98.000000,-310.000000,0.960000,-0.220000,-0.180000,0.010000
32.000000,-107.000000,-307.000000,0.960000,-0.220000,-0.180000,0.010000
44.000000,-46.000000,-229.000000,0.960000,-0.210000,-0.180000,0.010000
30.000000,-103.000000,-306.000000,0.960000,-0.210000,-0.180000,0.010000
167.000000,-115.000000,-341.000000,0.960000,-0.210000,-0.190000,0.000000
-16.000000,-127.000000,-409.000000,0.960000,-0.210000,-0.190000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-321.000000,454.000000,519.000000,0.970000,-0.010000,-0.250000,0.020000
279.000000,519.000000,-32.000000,0.970000,-0.120000,-0.220000,0.010000
208.000000,3.000000,-638.000000,0.960000,-0.210000,-0.200000,0.000000
74.000000,-33.000000,-317.000000,0.950000,-0.240000,-0.190000,0.000000
-12.000000,138.000000,73.000000,0.950000,-0.250000,-0.190000,0.000000
-42.000000,22.000000,-120.000000,0.950000,-0.250000,-0.190000,0.000000
-95.000000,5.000000,-122.000000,0.950000,-0.250000,-0.190000,0.010000
1.000000,-41.000000,-189.000000,0.950000,-0.250000,-0.190000,0.010000
-15.000000,-92.000000,-280.000000,0.950000,-0.250000,-0.190000,0.010000
26.000000,-96.000000,-299.000000,0.950000,-0.250000,-0.190000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-218.000000,356.000000,404.000000,0.960000,-0.010000,-0.260000,0.020000
138.000000,598.000000,264.000000,0.970000,-0.090000,-0.240000,0.020000
107.000000,193.000000,-516.000000,0.960000,-0.180000,-0.210000,0.010000
156.000000,-228.000000,-618.000000,0.950000,-0.220000,-0.200000,0.010000
47.000000,-134.000000,-339.000000,0.950000,-0.230000,-0.200000,0.010000
67.000000,-71.000000,-245.000000,0.950000,-0.230000,-0.200000,0.010000
-34.000000,-73.000000,-287.000000,0.950000,-0.230000,-0.200000,0.010000
26.000000,-67.000000,-224.000000,0.950000,-0.230000,-0.210000,0.010000
105.000000,-59.000000,-228.000000,0.950000,-0.230000,-0.210000,0.010000
36.000000,-8.000000,-159.000000,0.950000,-0.230000,-0.210000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-67.000000,167.000000,281.000000,0.960000,0.000000,-0.280000,0.020000
510.000000,610.000000,-2.000000,0.960000,-0.090000,-0.260000,0.020000
142.000000,-1.000000,-1089.000000,0.950000,-0.200000,-0.210000,0.010000
83.000000,-367.000000,-927.000000,0.940000,-0.260000,-0.200000,0.010000
64.000000,-366.000000,-658.000000,0.940000,-0.280000,-0.200000,0.010000
90.000000,-199.000000,-382.000000,0.940000,-0.270000,-0.210000,0.010000
-74.000000,-34.000000,-205.000000,0.940000,-0.270000,-0.210000,0.010000
-12.000000,-117.000000,-303.000000,0.940000,-0.270000,-0.210000,0.010000
61.000000,-52.000000,-215.000000,0.940000,-0.260000,-0.210000,0.010000
-19.000000,82.000000,-72.000000,0.940000,-0.260000,-0.210000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
26.000000,475.000000,264.000000,0.960000,-0.080000,-0.280000,0.020000
54.000000,417.000000,-273.000000,0.960000,-0.170000,-0.240000,0.020000
263.000000,-25.000000,-468.000000,0.940000,-0.240000,-0.230000,0.010000
87.000000,-47.000000,-261.000000,0.940000,-0.270000,-0.220000,0.010000
-21.000000,-44.000000,-282.000000,0.940000,-0.280000,-0.220000,0.010000
-89.000000,-20.000000,-191.000000,0.930000,-0.280000,-0.220000,0.010000
20.000000,-119.000000,-303.000000,0.930000,-0.280000,-0.220000,0.010000
61.000000,-84.000000,-280.000000,0.940000,-0.280000,-0.220000,0.010000
40.000000,-128.000000,-322.000000,0.940000,-0.280000,-0.220000,0.010000
121.000000,15.000000,-151.000000,0.930000,-0.280000,-0.220000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-75.000000,265.000000,46.000000,0.950000,-0.070000,-0.290000,0.020000
982.000000,9.000000,-1085.000000,0.950000,-0.170000,-0.260000,0.010000
215.000000,-347.000000,-1004.000000,0.940000,-0.240000,-0.230000,0.010000
167.000000,-488.000000,-842.000000,0.940000,-0.260000,-0.230000,0.010000
217.000000,-145.000000,-304.000000,0.940000,-0.260000,-0.230000,0.010000
58.000000,-68.000000,-240.000000,0.940000,-0.260000,-0.230000,0.010000
-6.000000,-107.000000,-308.000000,0.940000,-0.260000,-0.230000,0.010000
-45.000000,-19.000000,-208.000000,0.940000,-0.260000,-0.230000,0.010000
-76.000000,16.000000,-177.000000,0.940000,-0.260000,-0.230000,0.010000
133.000000,-170.000000,-388.000000,0.940000,-0.260000,-0.230000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-221.000000,569.000000,595.000000,0.950000,-0.060000,-0.290000,0.010000
126.000000,736.000000,265.000000,0.950000,-0.150000,-0.260000,0.020000
-98.000000,327.000000,-144.000000,0.950000,-0.220000,-0.230000,0.020000
274.000000,-272.000000,-544.000000,0.940000,-0.250000,-0.220000,0.030000
131.000000,-248.000000,-472.000000,0.940000,-0.250000,-0.210000,0.030000
-4.000000,-158.000000,-329.000000,0.940000,-0.250000,-0.210000,0.030000
29.000000,-133.000000,-333.000000,0.940000,-0.250000,-0.220000,0.030000
-6.000000,-85.000000,-300.000000,0.940000,-0.250000,-0.220000,0.030000
66.000000,-66.000000,-258.000000,0.940000,-0.240000,-0.220000,0.030000
23.000000,-81.000000,-311.000000,0.950000,-0.240000,-0.220000,0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-195.000000,326.000000,734.000000,0.990000,-0.040000,-0.090000,0.100000
-28.000000,821.000000,592.000000,0.990000,-0.120000,-0.070000,0.090000
-92.000000,698.000000,-236.000000,0.970000,-0.240000,-0.040000,0.070000
27.000000,-85.000000,-404.000000,0.950000,-0.290000,-0.040000,0.070000
-15.000000,132.000000,24.000000,0.950000,-0.300000,-0.040000,0.060000
66.000000,134.000000,47.000000,0.950000,-0.290000,-0.050000,0.060000
25.000000,-141.000000,-303.000000,0.950000,-0.290000,-0.050000,0.060000
77.000000,-186.000000,-405.000000,0.950000,-0.290000,-0.050000,0.060000
-113.000000,-72.000000,-358.000000,0.960000,-0.280000,-0.050000,0.060000
-10.000000,170.000000,12.000000,0.960000,-0.280000,-0.050000,0.060000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-401.000000,1701.000000,1759.000000,0.970000,-0.150000,-0.150000,0.120000
349.000000,155.000000,-381.000000,0.950000,-0.260000,-0.110000,0.110000
117.000000,134.000000,-88.000000,0.950000,-0.290000,-0.100000,0.110000
102.000000,-10.000000,-193.000000,0.940000,-0.290000,-0.100000,0.110000
31.000000,-87.000000,-289.000000,0.940000,-0.300000,-0.100000,0.110000
48.000000,-76.000000,-295.000000,0.940000,-0.300000,-0.100000,0.110000
64.000000,-123.000000,-342.000000,0.940000,-0.300000,-0.100000,0.110000
18.000000,-40.000000,-252.000000,0.940000,-0.300000,-0.100000,0.110000
83.000000,-96.000000,-326.000000,0.940000,-0.300000,-0.100000,0.110000
88.000000,-130.000000,-371.000000,0.940000,-0.300000,-0.100000,0.110000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-49.000000,-37.000000,-268.000000,0.970000,-0.080000,-0.190000,0.160000
56.000000,28.000000,-143.000000,0.970000,-0.080000,-0.190000,0.160000
63.000000,117.000000,61.000000,0.970000,-0.080000,-0.190000,0.160000
-216.000000,351.000000,-489.000000,0.960000,-0.150000,-0.170000,0.150000
177.000000,100.000000,-988.000000,0.950000,-0.260000,-0.120000,0.140000
214.000000,-414.000000,-845.000000,0.930000,-0.310000,-0.120000,0.130000
114.000000,-247.000000,-487.000000,0.930000,-0.310000,-0.120000,0.130000
5.000000,-219.000000,-449.000000,0.930000,-0.310000,-0.120000,0.130000
-15.000000,-142.000000,-361.000000,0.940000,-0.300000,-0.120000,0.130000
3.000000,-63.000000,-274.000000,0.940000,-0.300000,-0.120000,0.130000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
11.000000,-37.000000,-290.000000,0.960000,-0.140000,-0.210000,0.160000
-24.000000,34.000000,-155.000000,0.960000,-0.140000,-0.210000,0.160000
-58.000000,23.000000,-169.000000,0.960000,-0.140000,-0.210000,0.160000
-92.000000,605.000000,513.000000,0.950000,-0.160000,-0.200000,0.160000
-61.000000,639.000000,31.000000,0.940000,-0.240000,-0.170000,0.150000
144.000000,21.000000,-541.000000,0.930000,-0.320000,-0.140000,0.140000
177.000000,-406.000000,-720.000000,0.910000,-0.360000,-0.130000,0.140000
-38.000000,-114.000000,-357.000000,0.910000,-0.360000,-0.120000,0.140000
63.000000,-178.000000,-393.000000,0.910000,-0.360000,-0.120000,0.140000
70.000000,-84.000000,-298.000000,0.910000,-0.360000,-0.120000,0.140000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-450.000000,774.000000,1953.000000,0.960000,0.040000,-0.250000,0.130000
135.000000,967.000000,-959.000000,0.960000,-0.130000,-0.220000,0.130000
357.000000,-109.000000,-932.000000,0.940000,-0.240000,-0.200000,0.120000
361.000000,-323.000000,-577.000000,0.940000,-0.270000,-0.200000,0.110000
-25.000000,-102.000000,-309.000000,0.940000,-0.270000,-0.200000,0.110000
60.000000,-93.000000,-286.000000,0.940000,-0.260000,-0.200000,0.110000
-4.000000,-39.000000,-265.000000,0.940000,-0.260000,-0.200000,0.110000
56.000000,-41.000000,-232.000000,0.940000,-0.260000,-0.200000,0.110000
98.000000,-26.000000,-230.000000,0.940000,-0.260000,-0.200000,0.110000
-21.000000,-22.000000,-232.000000,0.940000,-0.260000,-0.200000,0.110000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-168.000000,394.000000,675.000000,0.960000,-0.010000,-0.240000,0.160000
4.000000,916.000000,35.000000,0.950000,-0.130000,-0.230000,0.160000
-21.000000,-216.000000,-984.000000,0.940000,-0.240000,-0.200000,0.140000
91.000000,-348.000000,-703.000000,0.930000,-0.270000,-0.190000,0.140000
32.000000,-134.000000,-310.000000,0.930000,-0.260000,-0.190000,0.140000
104.000000,-44.000000,-207.000000,0.930000,-0.260000,-0.200000,0.140000
46.000000,-62.000000,-246.000000,0.930000,-0.260000,-0.200000,0.140000
0.000000,12.000000,-156.000000,0.940000,-0.260000,-0.200000,0.140000
34.000000,-78.000000,-279.000000,0.940000,-0.250000,-0.200000,0.140000
