Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
67.000000,165.000000,778.000000,0.980000,0.110000,-0.130000,0.050000
-72.000000,621.000000,440.000000,0.990000,0.020000,-0.100000,0.030000
237.000000,519.000000,-472.000000,0.990000,-0.110000,-0.100000,-0.010000
62.000000,-102.000000,-768.000000,0.980000,-0.190000,-0.100000,-0.020000
-5.000000,-278.000000,-611.000000,0.970000,-0.210000,-0.100000,-0.020000
38.000000,-171.000000,-405.000000,0.970000,-0.210000,-0.100000,-0.020000
188.000000,-797.000000,-1177.000000,0.980000,-0.180000,-0.110000,-0.020000
-147.000000,117.000000,920.000000,0.990000,-0.040000,-0.120000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
93.000000,-224.000000,-549.000000,0.970000,-0.210000,-0.110000,-0.030000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
103.000000,-21.000000,-220.000000,0.970000,-0.210000,-0.120000,-0.030000
545.000000,-1442.000000,-2174.000000,0.980000,-0.180000,-0.120000,-0.020000
-769.000000,709.000000,2738.000000,0.990000,0.000000,-0.130000,0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8.000000,-54.000000,-274.000000,0.980000,-0.180000,-0.110000,-0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
35.000000,-118.000000,-376.000000,0.980000,-0.180000,-0.110000,-0.020000
289.000000,-637.000000,-1080.000000,0.980000,-0.150000,-0.110000,-0.020000
30.000000,-245.000000,-406.000000,0.990000,-0.090000,-0.120000,-0.010000
-143.000000,123.000000,403.000000,0.990000,-0.040000,-0.120000,0.000000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
465.000000,321.000000,-508.000000,0.990000,-0.040000,-0.120000,0.000000
4.000000,12.000000,-621.000000,0.990000,-0.100000,-0.110000,-0.010000
32.000000,-165.000000,-572.000000,0.990000,-0.120000,-0.110000,-0.010000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
25.000000,592.000000,-28.000000,0.990000,-0.020000,-0.120000,0.000000
254.000000,-31.000000,-1059.000000,0.990000,-0.120000,-0.110000,-0.010000
39.000000,-29.000000,-516.000000,0.980000,-0.160000,-0.120000,-0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-216.000000,1049.000000,1224.000000,0.990000,-0.040000,-0.120000,-0.010000
174.000000,236.000000,-717.000000,0.980000,-0.170000,-0.110000,-0.030000
-27.000000,-355.000000,-783.000000,0.970000,-0.220000,-0.110000,-0.040000
-335.000000,-412.000000,-781.000000,0.970000,-0.230000,-0.100000,-0.040000
116.000000,-25.000000,-210.000000,0.970000,-0.230000,-0.110000,-0.040000
139.000000,-253.000000,-549.000000,0.960000,-0.230000,-0.110000,-0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-32.000000,-49.000000,-251.000000,0.990000,0.010000,-0.110000,-0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
233.000000,688.000000,1076.000000,0.990000,-0.020000,-0.120000,-0.020000
-126.000000,720.000000,-1.000000,0.990000,-0.120000,-0.100000,-0.030000
-130.000000,254.000000,-216.000000,0.980000,-0.180000,-0.100000,-0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
44.000000,139.000000,270.000000,0.990000,0.010000,-0.110000,-0.020000
419.000000,1166.000000,1032.000000,0.990000,-0.060000,-0.110000,-0.020000
-335.000000,35.000000,-850.000000,0.980000,-0.180000,-0.080000,-0.030000
-259.000000,-6.000000,-284.000000,0.970000,-0.210000,-0.080000,-0.020000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
17.000000,1447.000000,2089.000000,0.990000,-0.070000,-0.100000,-0.020000
-179.000000,-27.000000,-961.000000,0.970000,-0.210000,-0.090000,-0.020000
68.000000,-333.000000,-710.000000,0.960000,-0.250000,-0.090000,-0.030000
-9.000000,-249.000000,-503.000000,0.960000,-0.260000,-0.090000,-0.030000
53.000000,-51.000000,-224.000000,0.960000,-0.250000,-0.100000,-0.030000
-15.000000,-60.000000,-261.000000,0.960000,-0.250000,-0.100000,-0.030000
114.000000,-120.000000,-373.000000,0.960000,-0.250000,-0.100000,-0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-35.000000,355.000000,1048.000000,0.990000,0.050000,-0.100000,-0.020000
322.000000,938.000000,-38.000000,0.990000,-0.070000,-0.080000,-0.030000
-122.000000,-176.000000,-1270.000000,0.980000,-0.190000,-0.070000,-0.030000
40.000000,-99.000000,-543.000000,0.970000,-0.240000,-0.070000,-0.030000
228.000000,-199.000000,-408.000000,0.970000,-0.250000,-0.080000,-0.030000
169.000000,-144.000000,-371.000000,0.960000,-0.250000,-0.080000,-0.030000
138.000000,-230.000000,-485.000000,0.960000,-0.250000,-0.080000,-0.030000
107.000000,-114.000000,-337.000000,0.960000,-0.250000,-0.080000,-0.030000
-15.000000,-124.000000,-369.000000,0.970000,-0.250000,-0.080000,-0.030000
7.000000,-49.000000,-255.000000,0.970000,-0.240000,-0.080000,-0.040000
-57.000000,-123.000000,-317.000000,0.970000,-0.230000,-0.080000,-0.040000
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
-303.000000,-103.000000,-515.000000,0.950000,-0.290000,-0.090000,-0.040000
-31.000000,-227.000000,-442.000000,0.950000,-0.300000,-0.090000,-0.040000
99.000000,-237.000000,-457.000000,0.950000,-0.300000,-0.090000,-0.040000
60.000000,-84.000000,-277.000000,0.950000,-0.290000,-0.090000,-0.040000
